,Accession,Dataset,Tissue,CellLine,PrimaryCell,Lab,Link,DataType,Controls
464,ENCFF001EPH,/experiments/ENCSR000DPX/,.,AG10803,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EPH/@@download/ENCFF001EPH.bigWig,raw signal,"/files/ENCFF001GYG/, /files/ENCFF001GYH/, /files/ENCFF001GYO/, /files/ENCFF258DWA/, /files/ENCFF085CHA/, /files/ENCFF323PSG/, /files/ENCFF060TFC/"
465,ENCFF001EPI,/experiments/ENCSR000DPX/,.,AG10803,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EPI/@@download/ENCFF001EPI.bigWig,raw signal,"/files/ENCFF001GYG/, /files/ENCFF001GYH/, /files/ENCFF001GYO/, /files/ENCFF258DWA/, /files/ENCFF085CHA/, /files/ENCFF323PSG/, /files/ENCFF060TFC/"
469,ENCFF001EMY,/experiments/ENCSR000DPJ/,.,AG04450,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EMY/@@download/ENCFF001EMY.bigWig,raw signal,"/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/"
470,ENCFF001EMZ,/experiments/ENCSR000DPJ/,.,AG04450,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EMZ/@@download/ENCFF001EMZ.bigWig,raw signal,"/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/"
473,ENCFF001EXX,/experiments/ENCSR000DRY/,.,GM12878,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EXX/@@download/ENCFF001EXX.bigWig,raw signal,"/files/ENCFF001HHW/, /files/ENCFF001HHY/, /files/ENCFF001HID/, /files/ENCFF504ALV/, /files/ENCFF094HMB/, /files/ENCFF892TNJ/, /files/ENCFF359EAD/"
474,ENCFF001EXZ,/experiments/ENCSR000DRY/,.,GM12878,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EXZ/@@download/ENCFF001EXZ.bigWig,raw signal,"/files/ENCFF001HHW/, /files/ENCFF001HHY/, /files/ENCFF001HID/, /files/ENCFF504ALV/, /files/ENCFF094HMB/, /files/ENCFF892TNJ/, /files/ENCFF359EAD/"
478,ENCFF000BDB,/experiments/ENCSR000AOH/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BDB/@@download/ENCFF000BDB.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
479,ENCFF001ERE,/experiments/ENCSR000DQF/,.,BJ,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ERE/@@download/ENCFF001ERE.bigWig,raw signal,"/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/"
480,ENCFF001ERG,/experiments/ENCSR000DQF/,.,BJ,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ERG/@@download/ENCFF001ERG.bigWig,raw signal,"/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/"
482,ENCFF000VIT,/experiments/ENCSR000EXJ/,.,Panc1,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VIT/@@download/ENCFF000VIT.bigWig,signal,"/files/ENCFF000VJK/, /files/ENCFF000VJM/, /files/ENCFF000VJN/, /files/ENCFF843DLH/, /files/ENCFF025ODI/, /files/ENCFF675MQQ/, /files/ENCFF703KFY/"
483,ENCFF001FLR,/experiments/ENCSR000DUD/,.,HepG2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FLR/@@download/ENCFF001FLR.bigWig,raw signal,"/files/ENCFF001HNV/, /files/ENCFF001HNW/, /files/ENCFF001HOD/, /files/ENCFF610SOD/, /files/ENCFF887ZEB/, /files/ENCFF575YDI/, /files/ENCFF933EKE/"
484,ENCFF001FLS,/experiments/ENCSR000DUD/,.,HepG2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FLS/@@download/ENCFF001FLS.bigWig,raw signal,"/files/ENCFF001HNV/, /files/ENCFF001HNW/, /files/ENCFF001HOD/, /files/ENCFF610SOD/, /files/ENCFF887ZEB/, /files/ENCFF575YDI/, /files/ENCFF933EKE/"
485,ENCFF000BWL,/experiments/ENCSR000AQE/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BWL/@@download/ENCFF000BWL.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
487,ENCFF000VKT,/experiments/ENCSR910LIE/,.,HEK293,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VKT/@@download/ENCFF000VKT.bigWig,signal,"/files/ENCFF473CDC/, /files/ENCFF629IGF/, /files/ENCFF948ZMS/, /files/ENCFF000VLG/, /files/ENCFF000VLC/, /files/ENCFF000VLD/, /files/ENCFF643ELQ/"
488,ENCFF001EQT,/experiments/ENCSR000DQG/,.,BJ,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EQT/@@download/ENCFF001EQT.bigWig,raw signal,"/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/"
489,ENCFF001EQU,/experiments/ENCSR000DQG/,.,BJ,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EQU/@@download/ENCFF001EQU.bigWig,raw signal,"/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/"
490,ENCFF001FKU,/experiments/ENCSR000DUA/,.,HeLa-S3,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FKU/@@download/ENCFF001FKU.bigWig,raw signal,"/files/ENCFF001HNF/, /files/ENCFF001HNH/, /files/ENCFF001HNS/, /files/ENCFF909YLO/, /files/ENCFF883FFC/, /files/ENCFF111FGZ/, /files/ENCFF780LIV/"
491,ENCFF001FKW,/experiments/ENCSR000DUA/,.,HeLa-S3,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FKW/@@download/ENCFF001FKW.bigWig,raw signal,"/files/ENCFF001HNF/, /files/ENCFF001HNH/, /files/ENCFF001HNS/, /files/ENCFF909YLO/, /files/ENCFF883FFC/, /files/ENCFF111FGZ/, /files/ENCFF780LIV/"
497,ENCFF000VFL,/experiments/ENCSR000EWQ/,.,MCF-7,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VFL/@@download/ENCFF000VFL.bigWig,signal,"/files/ENCFF000VGM/, /files/ENCFF000VGO/, /files/ENCFF000VGP/, /files/ENCFF000VHL/, /files/ENCFF000VHM/, /files/ENCFF846QOW/, /files/ENCFF791WJU/, /files/ENCFF076CJL/, /files/ENCFF839GWH/, /files/ENCFF891EBF/, /files/ENCFF610RHP/, /files/ENCFF162ZAB/, /files/ENCFF166QBJ/"
500,ENCFF000ATX,/experiments/ENCSR000AOW/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000ATX/@@download/ENCFF000ATX.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
501,ENCFF000BBL,/experiments/ENCSR000AQO/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BBL/@@download/ENCFF000BBL.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
502,ENCFF000AIC,/experiments/ENCSR000AUH/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AIC/@@download/ENCFF000AIC.bigWig,signal,"/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/"
506,ENCFF000BCV,/experiments/ENCSR000AOG/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BCV/@@download/ENCFF000BCV.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
508,ENCFF000ALC,/experiments/ENCSR000AVG/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000ALC/@@download/ENCFF000ALC.bigWig,signal,"/files/ENCFF000AGZ/, /files/ENCFF000AHA/, /files/ENCFF000AHB/, /files/ENCFF000AHE/, /files/ENCFF000AHJ/, /files/ENCFF227MOQ/, /files/ENCFF514TMK/, /files/ENCFF284JEI/, /files/ENCFF569SHN/, /files/ENCFF990BDZ/, /files/ENCFF274LEX/, /files/ENCFF800GUG/, /files/ENCFF698OND/, /files/ENCFF016EQS/, /files/ENCFF289PMY/"
509,ENCFF000ATL,/experiments/ENCSR000AKG/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000ATL/@@download/ENCFF000ATL.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
512,ENCFF000AST,/experiments/ENCSR000AKD/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AST/@@download/ENCFF000AST.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
513,ENCFF000AWE,/experiments/ENCSR000APZ/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AWE/@@download/ENCFF000AWE.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
514,ENCFF000AUL,/experiments/ENCSR000AOX/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AUL/@@download/ENCFF000AUL.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
515,ENCFF000AWW,/experiments/ENCSR000ANB/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AWW/@@download/ENCFF000AWW.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
516,ENCFF000AXC,/experiments/ENCSR000ANA/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AXC/@@download/ENCFF000AXC.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
517,ENCFF001ENF,/experiments/ENCSR000DPL/,.,AG04450,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ENF/@@download/ENCFF001ENF.bigWig,raw signal,"/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/"
518,ENCFF000AWK,/experiments/ENCSR000ANP/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AWK/@@download/ENCFF000AWK.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
519,ENCFF000ASJ,/experiments/ENCSR000AKC/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000ASJ/@@download/ENCFF000ASJ.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
520,ENCFF000ARZ,/experiments/ENCSR000AKF/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000ARZ/@@download/ENCFF000ARZ.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
521,ENCFF001FIM,/experiments/ENCSR000DTQ/,.,HCT116,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FIM/@@download/ENCFF001FIM.bigWig,raw signal,"/files/ENCFF001HLT/, /files/ENCFF001HLU/, /files/ENCFF001HME/, /files/ENCFF594FEE/, /files/ENCFF040CVQ/, /files/ENCFF958SGL/, /files/ENCFF052OHY/"
522,ENCFF001FIO,/experiments/ENCSR000DTQ/,.,HCT116,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FIO/@@download/ENCFF001FIO.bigWig,raw signal,"/files/ENCFF001HLT/, /files/ENCFF001HLU/, /files/ENCFF001HME/, /files/ENCFF594FEE/, /files/ENCFF040CVQ/, /files/ENCFF958SGL/, /files/ENCFF052OHY/"
523,ENCFF000AWQ,/experiments/ENCSR000ALU/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AWQ/@@download/ENCFF000AWQ.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
524,ENCFF000VDK,/experiments/ENCSR000EWC/,.,K562,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VDK/@@download/ENCFF000VDK.bigWig,signal,"/files/ENCFF000VDZ/, /files/ENCFF000VEA/, /files/ENCFF000VEK/, /files/ENCFF627RBN/, /files/ENCFF051ZZR/, /files/ENCFF390OZW/, /files/ENCFF355SGP/"
526,ENCFF000BYX,/experiments/ENCSR000APE/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BYX/@@download/ENCFF000BYX.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
527,ENCFF000VCM,/experiments/ENCSR000EUS/,.,HCT116,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VCM/@@download/ENCFF000VCM.bigWig,signal,"/files/ENCFF000VCV/, /files/ENCFF000VCW/, /files/ENCFF000VDA/, /files/ENCFF000WWU/, /files/ENCFF000WWW/, /files/ENCFF000WXB/, /files/ENCFF000VCY/, /files/ENCFF812GKO/, /files/ENCFF371UEJ/, /files/ENCFF885RHY/, /files/ENCFF878LDQ/, /files/ENCFF358ZVL/, /files/ENCFF149SOH/, /files/ENCFF285EDT/, /files/ENCFF307KKC/, /files/ENCFF408PAH/, /files/ENCFF048FCJ/"
528,ENCFF001EXN,/experiments/ENCSR000DRW/,.,GM12878,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EXN/@@download/ENCFF001EXN.bigWig,raw signal,"/files/ENCFF001HHW/, /files/ENCFF001HHY/, /files/ENCFF001HID/, /files/ENCFF504ALV/, /files/ENCFF094HMB/, /files/ENCFF892TNJ/, /files/ENCFF359EAD/"
